COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
9.8449572E9,,M/S 3/7->B,,M/S 2/7->D,,M/S 1/7->A,C,
9.3588122E9,,M/S 3/7->B,D,,M/S 1/7->A,C,
9.2339098E9,,M/S 3/7->B,,M/S 4/7->D,,M/S 1/7->A,C,
8.9746125E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 1/7->A,C,
1.00540785E10,,M/S 3/7->B,,M/S 1/7->A,C,,M/S 6/7->D,
1.01515776E10,,M/S 3/7->B,,M/S 7/7->D,,M/S 1/7->A,C,
9.9315651E9,,M/S 3/7->B,,M/S 2/7->C,,M/S 1/7->A,D,
1.03364198E10,,M/S 3/7->B,,M/S 2/7->C,D,,M/S 1/7->A,
1.00787282E10,,M/S 3/7->B,D,,M/S 2/7->C,,M/S 1/7->A,
9.9538268E9,,M/S 3/7->B,,M/S 2/7->C,,M/S 4/7->D,,M/S 1/7->A,
9.6945295E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 2/7->C,,M/S 1/7->A,
1.07739955E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 1/7->A,,M/S 6/7->D,
1.08714947E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 7/7->D,,M/S 1/7->A,
9.3548954E9,,M/S 3/7->B,C,,M/S 1/7->A,D,
9.9882045E9,,M/S 3/7->B,C,,M/S 2/7->D,,M/S 1/7->A,
9.3771571E9,,M/S 3/7->B,C,,M/S 4/7->D,,M/S 1/7->A,
9.1178598E9,,M/S 3/7->B,C,,M/S 5/7->D,,M/S 1/7->A,
1.01973258E10,,M/S 3/7->B,C,,M/S 1/7->A,,M/S 6/7->D,
1.0294825E10,,M/S 3/7->B,C,,M/S 7/7->D,,M/S 1/7->A,
9.242026E9,,M/S 3/7->B,,M/S 4/7->C,,M/S 1/7->A,D,
9.8753352E9,,M/S 3/7->B,,M/S 2/7->D,,M/S 4/7->C,,M/S 1/7->A,
9.3891891E9,,M/S 3/7->B,D,,M/S 4/7->C,,M/S 1/7->A,
8.7967478E9,,M/S 3/7->B,,M/S 4/7->C,D,,M/S 1/7->A,
9.0049905E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 4/7->C,,M/S 1/7->A,
1.00844564E10,,M/S 3/7->B,,M/S 4/7->C,,M/S 1/7->A,,M/S 6/7->D,
1.01819556E10,,M/S 3/7->B,,M/S 7/7->D,,M/S 4/7->C,,M/S 1/7->A,
9.0725622E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 1/7->A,D,
9.7058714E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->D,,M/S 1/7->A,
9.2197263E9,,M/S 3/7->B,D,,M/S 5/7->C,,M/S 1/7->A,
9.0948239E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 4/7->D,,M/S 1/7->A,
8.8355267E9,,M/S 3/7->B,,M/S 5/7->C,D,,M/S 1/7->A,
9.9149926E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 1/7->A,,M/S 6/7->D,
1.00124918E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 7/7->D,,M/S 1/7->A,
1.00817367E10,,M/S 3/7->B,,M/S 1/7->A,D,,M/S 6/7->C,
1.07150459E10,,M/S 3/7->B,,M/S 2/7->D,,M/S 1/7->A,,M/S 6/7->C,
1.02288998E10,,M/S 3/7->B,D,,M/S 1/7->A,,M/S 6/7->C,
1.01039985E10,,M/S 3/7->B,,M/S 4/7->D,,M/S 1/7->A,,M/S 6/7->C,
9.8447012E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 1/7->A,,M/S 6/7->C,
1.09241672E10,,M/S 3/7->B,,M/S 1/7->A,,M/S 6/7->C,D,
1.10216663E10,,M/S 3/7->B,,M/S 7/7->D,,M/S 1/7->A,,M/S 6/7->C,
9.6730143E9,,M/S 2/7->D,,M/S 4/7->B,,M/S 1/7->A,C,
9.2108472E9,,M/S 3/7->D,,M/S 4/7->B,,M/S 1/7->A,C,
8.6614692E9,,M/S 4/7->B,D,,M/S 1/7->A,C,
8.8026696E9,,M/S 5/7->D,,M/S 4/7->B,,M/S 1/7->A,C,
9.8821356E9,,M/S 4/7->B,,M/S 1/7->A,C,,M/S 6/7->D,
9.9796347E9,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->A,C,
9.7596211E9,,M/S 2/7->C,,M/S 4/7->B,,M/S 1/7->A,D,
1.01644769E10,,M/S 2/7->C,D,,M/S 4/7->B,,M/S 1/7->A,
9.9307643E9,,M/S 3/7->D,,M/S 2/7->C,,M/S 4/7->B,,M/S 1/7->A,
9.3813852E9,,M/S 2/7->C,,M/S 4/7->B,D,,M/S 1/7->A,
9.5225856E9,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->B,,M/S 1/7->A,
1.06020516E10,,M/S 2/7->C,,M/S 4/7->B,,M/S 1/7->A,,M/S 6/7->D,
1.06995507E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->A,
9.230121E9,,M/S 3/7->C,,M/S 4/7->B,,M/S 1/7->A,D,
9.8634322E9,,M/S 3/7->C,,M/S 2/7->D,,M/S 4/7->B,,M/S 1/7->A,
9.3304689E9,,M/S 3/7->C,D,,M/S 4/7->B,,M/S 1/7->A,
8.8518861E9,,M/S 3/7->C,,M/S 4/7->B,D,,M/S 1/7->A,
8.9930865E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 4/7->B,,M/S 1/7->A,
1.00725535E10,,M/S 3/7->C,,M/S 4/7->B,,M/S 1/7->A,,M/S 6/7->D,
1.01700526E10,,M/S 3/7->C,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->A,
8.6552627E9,,M/S 4/7->B,C,,M/S 1/7->A,D,
9.2885729E9,,M/S 2/7->D,,M/S 4/7->B,C,,M/S 1/7->A,
8.8264059E9,,M/S 3/7->D,,M/S 4/7->B,C,,M/S 1/7->A,
8.4182272E9,,M/S 5/7->D,,M/S 4/7->B,C,,M/S 1/7->A,
9.4976942E9,,M/S 4/7->B,C,,M/S 1/7->A,,M/S 6/7->D,
9.5951933E9,,M/S 7/7->D,,M/S 4/7->B,C,,M/S 1/7->A,
8.9006182E9,,M/S 5/7->C,,M/S 4/7->B,,M/S 1/7->A,D,
9.5339284E9,,M/S 5/7->C,,M/S 2/7->D,,M/S 4/7->B,,M/S 1/7->A,
9.0717614E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 4/7->B,,M/S 1/7->A,
8.5223834E9,,M/S 5/7->C,,M/S 4/7->B,D,,M/S 1/7->A,
8.6635837E9,,M/S 5/7->C,D,,M/S 4/7->B,,M/S 1/7->A,
9.7430497E9,,M/S 5/7->C,,M/S 4/7->B,,M/S 1/7->A,,M/S 6/7->D,
9.8405489E9,,M/S 5/7->C,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->A,
9.9097928E9,,M/S 4/7->B,,M/S 1/7->A,D,,M/S 6/7->C,
1.0543102E10,,M/S 2/7->D,,M/S 4/7->B,,M/S 1/7->A,,M/S 6/7->C,
1.00809359E10,,M/S 3/7->D,,M/S 4/7->B,,M/S 1/7->A,,M/S 6/7->C,
9.5315569E9,,M/S 4/7->B,D,,M/S 1/7->A,,M/S 6/7->C,
9.6727572E9,,M/S 5/7->D,,M/S 4/7->B,,M/S 1/7->A,,M/S 6/7->C,
1.07522232E10,,M/S 4/7->B,,M/S 1/7->A,,M/S 6/7->C,D,
1.08497224E10,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->A,,M/S 6/7->C,
9.5465492E9,,M/S 5/7->B,,M/S 2/7->D,,M/S 1/7->A,C,
9.0843822E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 1/7->A,C,
8.9355008E9,,M/S 5/7->B,,M/S 4/7->D,,M/S 1/7->A,C,
8.6762045E9,,M/S 5/7->B,D,,M/S 1/7->A,C,
9.7556705E9,,M/S 5/7->B,,M/S 1/7->A,C,,M/S 6/7->D,
9.8531697E9,,M/S 5/7->B,,M/S 7/7->D,,M/S 1/7->A,C,
9.6331561E9,,M/S 5/7->B,,M/S 2/7->C,,M/S 1/7->A,D,
1.00380119E10,,M/S 5/7->B,,M/S 2/7->C,D,,M/S 1/7->A,
9.8042993E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->C,,M/S 1/7->A,
9.6554179E9,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->D,,M/S 1/7->A,
9.3961206E9,,M/S 5/7->B,D,,M/S 2/7->C,,M/S 1/7->A,
1.04755876E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 1/7->A,,M/S 6/7->D,
1.05730867E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->D,,M/S 1/7->A,
9.103657E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 1/7->A,D,
9.7369661E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->D,,M/S 1/7->A,
9.2040038E9,,M/S 3/7->C,D,,M/S 5/7->B,,M/S 1/7->A,
9.1259177E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 4/7->D,,M/S 1/7->A,
8.8666214E9,,M/S 3/7->C,,M/S 5/7->B,D,,M/S 1/7->A,
9.9460874E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 1/7->A,,M/S 6/7->D,
1.00435866E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 7/7->D,,M/S 1/7->A,
8.943616E9,,M/S 5/7->B,,M/S 4/7->C,,M/S 1/7->A,D,
9.5769262E9,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->C,,M/S 1/7->A,
9.1147592E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 4/7->C,,M/S 1/7->A,
8.4983388E9,,M/S 5/7->B,,M/S 4/7->C,D,,M/S 1/7->A,
8.7065815E9,,M/S 5/7->B,D,,M/S 4/7->C,,M/S 1/7->A,
9.7860475E9,,M/S 5/7->B,,M/S 4/7->C,,M/S 1/7->A,,M/S 6/7->D,
9.8835466E9,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->C,,M/S 1/7->A,
8.7741532E9,,M/S 5/7->B,C,,M/S 1/7->A,D,
9.4074634E9,,M/S 5/7->B,C,,M/S 2/7->D,,M/S 1/7->A,
8.9452964E9,,M/S 3/7->D,,M/S 5/7->B,C,,M/S 1/7->A,
8.796415E9,,M/S 5/7->B,C,,M/S 4/7->D,,M/S 1/7->A,
9.6165847E9,,M/S 5/7->B,C,,M/S 1/7->A,,M/S 6/7->D,
9.7140838E9,,M/S 5/7->B,C,,M/S 7/7->D,,M/S 1/7->A,
9.7833267E9,,M/S 5/7->B,,M/S 1/7->A,D,,M/S 6/7->C,
1.04166369E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 1/7->A,,M/S 6/7->C,
9.9544699E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 1/7->A,,M/S 6/7->C,
9.8055895E9,,M/S 5/7->B,,M/S 4/7->D,,M/S 1/7->A,,M/S 6/7->C,
9.5462922E9,,M/S 5/7->B,D,,M/S 1/7->A,,M/S 6/7->C,
1.06257582E10,,M/S 5/7->B,,M/S 1/7->A,,M/S 6/7->C,D,
1.07232573E10,,M/S 5/7->B,,M/S 7/7->D,,M/S 1/7->A,,M/S 6/7->C,
1.01117327E10,,M/S 2/7->D,,M/S 1/7->A,C,,M/S 6/7->B,
9.6495657E9,,M/S 3/7->D,,M/S 1/7->A,C,,M/S 6/7->B,
9.5006853E9,,M/S 4/7->D,,M/S 1/7->A,C,,M/S 6/7->B,
9.241388E9,,M/S 5/7->D,,M/S 1/7->A,C,,M/S 6/7->B,
1.0320854E10,,M/S 1/7->A,C,,M/S 6/7->B,D,
