COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
1.22137498E10,,M/S 2/7->A,B,,M/S 7/7->D,,M/S 6/7->C,
9.9411108E9,,M/S 3/7->B,,M/S 2/7->A,,M/S 1/7->C,D,
1.02932275E10,,M/S 3/7->B,,M/S 2/7->A,D,,M/S 1/7->C,
1.01069148E10,,M/S 3/7->B,D,,M/S 2/7->A,,M/S 1/7->C,
9.9820114E9,,M/S 3/7->B,,M/S 2/7->A,,M/S 4/7->D,,M/S 1/7->C,
9.7227141E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 2/7->A,,M/S 1/7->C,
1.08021801E10,,M/S 3/7->B,,M/S 2/7->A,,M/S 1/7->C,,M/S 6/7->D,
1.08996792E10,,M/S 3/7->B,,M/S 2/7->A,,M/S 7/7->D,,M/S 1/7->C,
1.05016003E10,,M/S 3/7->B,,M/S 2/7->A,C,,M/S 1/7->D,
1.05774172E10,,M/S 3/7->B,D,,M/S 2/7->A,C,
1.04525148E10,,M/S 3/7->B,,M/S 2/7->A,C,,M/S 4/7->D,
1.01932175E10,,M/S 3/7->B,,M/S 5/7->D,,M/S 2/7->A,C,
1.12726835E10,,M/S 3/7->B,,M/S 2/7->A,C,,M/S 6/7->D,
1.13701827E10,,M/S 3/7->B,,M/S 2/7->A,C,,M/S 7/7->D,
1.010449E10,,M/S 3/7->B,C,,M/S 2/7->A,,M/S 1/7->D,
1.03666196E10,,M/S 3/7->B,C,,M/S 2/7->A,D,
1.00554045E10,,M/S 3/7->B,C,,M/S 2/7->A,,M/S 4/7->D,
9.7961073E9,,M/S 3/7->B,C,,M/S 5/7->D,,M/S 2/7->A,
1.08755743E10,,M/S 3/7->B,C,,M/S 2/7->A,,M/S 6/7->D,
1.09730734E10,,M/S 3/7->B,C,,M/S 2/7->A,,M/S 7/7->D,
9.9916196E9,,M/S 3/7->B,,M/S 2/7->A,,M/S 4/7->C,,M/S 1/7->D,
1.02537503E10,,M/S 3/7->B,,M/S 2/7->A,D,,M/S 4/7->C,
1.00674376E10,,M/S 3/7->B,D,,M/S 2/7->A,,M/S 4/7->C,
9.4749952E9,,M/S 3/7->B,,M/S 2/7->A,,M/S 4/7->C,D,
9.6832369E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 2/7->A,,M/S 4/7->C,
1.07627028E10,,M/S 3/7->B,,M/S 2/7->A,,M/S 4/7->C,,M/S 6/7->D,
1.0860202E10,,M/S 3/7->B,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->C,
9.8221558E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->A,,M/S 1/7->D,
1.00842865E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->A,D,
9.8979738E9,,M/S 3/7->B,D,,M/S 5/7->C,,M/S 2/7->A,
9.7730714E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->A,,M/S 4/7->D,
9.5137741E9,,M/S 3/7->B,,M/S 5/7->C,D,,M/S 2/7->A,
1.05932401E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->A,,M/S 6/7->D,
1.06907392E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->A,,M/S 7/7->D,
1.08313303E10,,M/S 3/7->B,,M/S 2/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.1093461E10,,M/S 3/7->B,,M/S 2/7->A,D,,M/S 6/7->C,
1.09071483E10,,M/S 3/7->B,D,,M/S 2/7->A,,M/S 6/7->C,
1.07822449E10,,M/S 3/7->B,,M/S 2/7->A,,M/S 4/7->D,,M/S 6/7->C,
1.05229476E10,,M/S 3/7->B,,M/S 5/7->D,,M/S 2/7->A,,M/S 6/7->C,
1.16024136E10,,M/S 3/7->B,,M/S 2/7->A,,M/S 6/7->C,D,
1.16999127E10,,M/S 3/7->B,,M/S 2/7->A,,M/S 7/7->D,,M/S 6/7->C,
9.7691668E9,,M/S 2/7->A,,M/S 4/7->B,,M/S 1/7->C,D,
1.01212836E10,,M/S 2/7->A,D,,M/S 4/7->B,,M/S 1/7->C,
9.9589489E9,,M/S 3/7->D,,M/S 2/7->A,,M/S 4/7->B,,M/S 1/7->C,
9.4095708E9,,M/S 2/7->A,,M/S 4/7->B,D,,M/S 1/7->C,
9.5507712E9,,M/S 5/7->D,,M/S 2/7->A,,M/S 4/7->B,,M/S 1/7->C,
1.06302372E10,,M/S 2/7->A,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->D,
1.07277363E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->C,
1.03296563E10,,M/S 2/7->A,C,,M/S 4/7->B,,M/S 1/7->D,
1.04294523E10,,M/S 3/7->D,,M/S 2/7->A,C,,M/S 4/7->B,
9.8800742E9,,M/S 2/7->A,C,,M/S 4/7->B,D,
1.00212746E10,,M/S 5/7->D,,M/S 2/7->A,C,,M/S 4/7->B,
1.11007406E10,,M/S 2/7->A,C,,M/S 4/7->B,,M/S 6/7->D,
1.11982397E10,,M/S 2/7->A,C,,M/S 7/7->D,,M/S 4/7->B,
9.9797156E9,,M/S 3/7->C,,M/S 2/7->A,,M/S 4/7->B,,M/S 1/7->D,
1.02418452E10,,M/S 3/7->C,,M/S 2/7->A,D,,M/S 4/7->B,
1.00087163E10,,M/S 3/7->C,D,,M/S 2/7->A,,M/S 4/7->B,
9.5301335E9,,M/S 3/7->C,,M/S 2/7->A,,M/S 4/7->B,D,
9.6713329E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 2/7->A,,M/S 4/7->B,
1.07507999E10,,M/S 3/7->C,,M/S 2/7->A,,M/S 4/7->B,,M/S 6/7->D,
1.0848299E10,,M/S 3/7->C,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->B,
9.4048563E9,,M/S 2/7->A,,M/S 4/7->B,C,,M/S 1/7->D,
9.666987E9,,M/S 2/7->A,D,,M/S 4/7->B,C,
9.5046523E9,,M/S 3/7->D,,M/S 2/7->A,,M/S 4/7->B,C,
9.0964746E9,,M/S 5/7->D,,M/S 2/7->A,,M/S 4/7->B,C,
1.01759406E10,,M/S 2/7->A,,M/S 4/7->B,C,,M/S 6/7->D,
1.02734397E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->B,C,
9.6502129E9,,M/S 5/7->C,,M/S 2/7->A,,M/S 4/7->B,,M/S 1/7->D,
9.9123425E9,,M/S 5/7->C,,M/S 2/7->A,D,,M/S 4/7->B,
9.7500088E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 2/7->A,,M/S 4/7->B,
9.2006308E9,,M/S 5/7->C,,M/S 2/7->A,,M/S 4/7->B,D,
9.3418312E9,,M/S 5/7->C,D,,M/S 2/7->A,,M/S 4/7->B,
1.04212972E10,,M/S 5/7->C,,M/S 2/7->A,,M/S 4/7->B,,M/S 6/7->D,
1.05187963E10,,M/S 5/7->C,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->B,
1.06593864E10,,M/S 2/7->A,,M/S 4/7->B,,M/S 1/7->D,,M/S 6/7->C,
1.09215171E10,,M/S 2/7->A,D,,M/S 4/7->B,,M/S 6/7->C,
1.07591823E10,,M/S 3/7->D,,M/S 2/7->A,,M/S 4/7->B,,M/S 6/7->C,
1.02098043E10,,M/S 2/7->A,,M/S 4/7->B,D,,M/S 6/7->C,
1.03510047E10,,M/S 5/7->D,,M/S 2/7->A,,M/S 4/7->B,,M/S 6/7->C,
1.14304707E10,,M/S 2/7->A,,M/S 4/7->B,,M/S 6/7->C,D,
1.15279698E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->B,,M/S 6/7->C,
9.6427018E9,,M/S 5/7->B,,M/S 2/7->A,,M/S 1/7->C,D,
9.9948175E9,,M/S 5/7->B,,M/S 2/7->A,D,,M/S 1/7->C,
9.8324838E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->A,,M/S 1/7->C,
9.6836035E9,,M/S 5/7->B,,M/S 2/7->A,,M/S 4/7->D,,M/S 1/7->C,
9.4243062E9,,M/S 5/7->B,D,,M/S 2/7->A,,M/S 1/7->C,
1.05037722E10,,M/S 5/7->B,,M/S 2/7->A,,M/S 1/7->C,,M/S 6/7->D,
1.06012713E10,,M/S 5/7->B,,M/S 2/7->A,,M/S 7/7->D,,M/S 1/7->C,
1.02031913E10,,M/S 5/7->B,,M/S 2/7->A,C,,M/S 1/7->D,
1.03029873E10,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->A,C,
1.01541059E10,,M/S 5/7->B,,M/S 2/7->A,C,,M/S 4/7->D,
9.8948096E9,,M/S 5/7->B,D,,M/S 2/7->A,C,
1.09742756E10,,M/S 5/7->B,,M/S 2/7->A,C,,M/S 6/7->D,
1.10717747E10,,M/S 5/7->B,,M/S 2/7->A,C,,M/S 7/7->D,
9.8532506E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->A,,M/S 1/7->D,
1.01153812E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->A,D,
9.8822513E9,,M/S 3/7->C,D,,M/S 5/7->B,,M/S 2/7->A,
9.8041651E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->A,,M/S 4/7->D,
9.5448678E9,,M/S 3/7->C,,M/S 5/7->B,D,,M/S 2/7->A,
1.06243338E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->A,,M/S 6/7->D,
1.0721833E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->A,,M/S 7/7->D,
9.6932106E9,,M/S 5/7->B,,M/S 2/7->A,,M/S 4/7->C,,M/S 1/7->D,
9.9553403E9,,M/S 5/7->B,,M/S 2/7->A,D,,M/S 4/7->C,
9.7930066E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->A,,M/S 4/7->C,
9.1765862E9,,M/S 5/7->B,,M/S 2/7->A,,M/S 4/7->C,D,
9.3848289E9,,M/S 5/7->B,D,,M/S 2/7->A,,M/S 4/7->C,
1.04642949E10,,M/S 5/7->B,,M/S 2/7->A,,M/S 4/7->C,,M/S 6/7->D,
1.0561794E10,,M/S 5/7->B,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->C,
9.5237478E9,,M/S 5/7->B,C,,M/S 2/7->A,,M/S 1/7->D,
9.7858775E9,,M/S 5/7->B,C,,M/S 2/7->A,D,
9.6235438E9,,M/S 3/7->D,,M/S 5/7->B,C,,M/S 2/7->A,
9.4746624E9,,M/S 5/7->B,C,,M/S 2/7->A,,M/S 4/7->D,
1.02948311E10,,M/S 5/7->B,C,,M/S 2/7->A,,M/S 6/7->D,
1.03923302E10,,M/S 5/7->B,C,,M/S 2/7->A,,M/S 7/7->D,
1.05329213E10,,M/S 5/7->B,,M/S 2/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.0795051E10,,M/S 5/7->B,,M/S 2/7->A,D,,M/S 6/7->C,
1.06327173E10,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->A,,M/S 6/7->C,
1.04838369E10,,M/S 5/7->B,,M/S 2/7->A,,M/S 4/7->D,,M/S 6/7->C,
1.02245396E10,,M/S 5/7->B,D,,M/S 2/7->A,,M/S 6/7->C,
1.13040056E10,,M/S 5/7->B,,M/S 2/7->A,,M/S 6/7->C,D,
1.14015048E10,,M/S 5/7->B,,M/S 2/7->A,,M/S 7/7->D,,M/S 6/7->C,
1.02078853E10,,M/S 2/7->A,,M/S 1/7->C,D,,M/S 6/7->B,
1.0560002E10,,M/S 2/7->A,D,,M/S 1/7->C,,M/S 6/7->B,
1.03976673E10,,M/S 3/7->D,,M/S 2/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.02487869E10,,M/S 2/7->A,,M/S 4/7->D,,M/S 1/7->C,,M/S 6/7->B,
9.9894897E9,,M/S 5/7->D,,M/S 2/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.10689567E10,,M/S 2/7->A,,M/S 1/7->C,,M/S 6/7->B,D,
1.11664548E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 1/7->C,,M/S 6/7->B,
1.07683748E10,,M/S 2/7->A,C,,M/S 1/7->D,,M/S 6/7->B,
1.08681708E10,,M/S 3/7->D,,M/S 2/7->A,C,,M/S 6/7->B,
1.07192904E10,,M/S 2/7->A,C,,M/S 4/7->D,,M/S 6/7->B,
1.04599931E10,,M/S 5/7->D,,M/S 2/7->A,C,,M/S 6/7->B,
1.15394591E10,,M/S 2/7->A,C,,M/S 6/7->B,D,
1.16369582E10,,M/S 2/7->A,C,,M/S 7/7->D,,M/S 6/7->B,
1.0418434E10,,M/S 3/7->C,,M/S 2/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.06805637E10,,M/S 3/7->C,,M/S 2/7->A,D,,M/S 6/7->B,
1.04474348E10,,M/S 3/7->C,D,,M/S 2/7->A,,M/S 6/7->B,
1.03693486E10,,M/S 3/7->C,,M/S 2/7->A,,M/S 4/7->D,,M/S 6/7->B,
1.01100513E10,,M/S 3/7->C,,M/S 5/7->D,,M/S 2/7->A,,M/S 6/7->B,
1.11895183E10,,M/S 3/7->C,,M/S 2/7->A,,M/S 6/7->B,D,
1.12870175E10,,M/S 3/7->C,,M/S 2/7->A,,M/S 7/7->D,,M/S 6/7->B,
1.02583941E10,,M/S 2/7->A,,M/S 4/7->C,,M/S 1/7->D,,M/S 6/7->B,
1.05205248E10,,M/S 2/7->A,D,,M/S 4/7->C,,M/S 6/7->B,
1.03581901E10,,M/S 3/7->D,,M/S 2/7->A,,M/S 4/7->C,,M/S 6/7->B,
9.7417697E9,,M/S 2/7->A,,M/S 4/7->C,D,,M/S 6/7->B,
9.9500124E9,,M/S 5/7->D,,M/S 2/7->A,,M/S 4/7->C,,M/S 6/7->B,
1.10294794E10,,M/S 2/7->A,,M/S 4/7->C,,M/S 6/7->B,D,
1.11269775E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 4/7->C,,M/S 6/7->B,
1.00889313E10,,M/S 5/7->C,,M/S 2/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.0351061E10,,M/S 5/7->C,,M/S 2/7->A,D,,M/S 6/7->B,
1.01887273E10,,M/S 3/7->D,,M/S 5/7->C,,M/S 2/7->A,,M/S 6/7->B,
1.00398459E10,,M/S 5/7->C,,M/S 2/7->A,,M/S 4/7->D,,M/S 6/7->B,
9.7805496E9,,M/S 5/7->C,D,,M/S 2/7->A,,M/S 6/7->B,
1.08600156E10,,M/S 5/7->C,,M/S 2/7->A,,M/S 6/7->B,D,
1.09575148E10,,M/S 5/7->C,,M/S 2/7->A,,M/S 7/7->D,,M/S 6/7->B,
1.10981059E10,,M/S 2/7->A,,M/S 1/7->D,,M/S 6/7->B,C,
1.13602355E10,,M/S 2/7->A,D,,M/S 6/7->B,C,
1.11979018E10,,M/S 3/7->D,,M/S 2/7->A,,M/S 6/7->B,C,
1.10490204E10,,M/S 2/7->A,,M/S 4/7->D,,M/S 6/7->B,C,
1.07897231E10,,M/S 5/7->D,,M/S 2/7->A,,M/S 6/7->B,C,
1.19666893E10,,M/S 2/7->A,,M/S 7/7->D,,M/S 6/7->B,C,
9.7844951E9,,M/S 3/7->A,,M/S 2/7->D,,M/S 1/7->B,C,
9.2975206E9,,M/S 3/7->A,D,,M/S 1/7->B,C,
9.1734477E9,,M/S 3/7->A,,M/S 4/7->D,,M/S 1/7->B,C,
8.9141504E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 1/7->B,C,
9.9936164E9,,M/S 3/7->A,,M/S 1/7->B,C,,M/S 6/7->D,
1.00911155E10,,M/S 3/7->A,,M/S 7/7->D,,M/S 1/7->B,C,
9.8933514E9,,M/S 3/7->A,,M/S 2/7->C,,M/S 1/7->B,D,
1.02950973E10,,M/S 3/7->A,,M/S 2/7->C,D,,M/S 1/7->B,
1.00365763E10,,M/S 3/7->A,D,,M/S 2/7->C,,M/S 1/7->B,
9.9125033E9,,M/S 3/7->A,,M/S 2/7->C,,M/S 4/7->D,,M/S 1/7->B,
9.653206E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 2/7->C,,M/S 1/7->B,
1.0732673E10,,M/S 3/7->A,,M/S 2/7->C,,M/S 1/7->B,,M/S 6/7->D,
1.08301722E10,,M/S 3/7->A,,M/S 2/7->C,,M/S 7/7->D,,M/S 1/7->B,
9.3394371E9,,M/S 3/7->A,C,,M/S 1/7->B,D,
9.9696353E9,,M/S 3/7->A,C,,M/S 2/7->D,,M/S 1/7->B,
9.3585879E9,,M/S 3/7->A,C,,M/S 4/7->D,,M/S 1/7->B,
9.0992906E9,,M/S 3/7->A,C,,M/S 5/7->D,,M/S 1/7->B,
1.01787566E10,,M/S 3/7->A,C,,M/S 1/7->B,,M/S 6/7->D,
1.02762557E10,,M/S 3/7->A,C,,M/S 7/7->D,,M/S 1/7->B,
9.2038124E9,,M/S 3/7->A,,M/S 4/7->C,,M/S 1/7->B,D,
9.8340116E9,,M/S 3/7->A,,M/S 2/7->D,,M/S 4/7->C,,M/S 1/7->B,
9.3470362E9,,M/S 3/7->A,D,,M/S 4/7->C,,M/S 1/7->B,
8.7554243E9,,M/S 3/7->A,,M/S 4/7->C,D,,M/S 1/7->B,
8.9636669E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 4/7->C,,M/S 1/7->B,
1.00431329E10,,M/S 3/7->A,,M/S 4/7->C,,M/S 1/7->B,,M/S 6/7->D,
1.01406321E10,,M/S 3/7->A,,M/S 7/7->D,,M/S 4/7->C,,M/S 1/7->B,
9.0343485E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 1/7->B,D,
9.6645489E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 2/7->D,,M/S 1/7->B,
9.1775734E9,,M/S 3/7->A,D,,M/S 5/7->C,,M/S 1/7->B,
9.0535004E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 4/7->D,,M/S 1/7->B,
8.7942042E9,,M/S 3/7->A,,M/S 5/7->C,D,,M/S 1/7->B,
9.8736701E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 1/7->B,,M/S 6/7->D,
9.9711693E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 7/7->D,,M/S 1/7->B,
1.00435231E10,,M/S 3/7->A,,M/S 1/7->B,D,,M/S 6/7->C,
1.06737224E10,,M/S 3/7->A,,M/S 2/7->D,,M/S 1/7->B,,M/S 6/7->C,
1.01867469E10,,M/S 3/7->A,D,,M/S 1/7->B,,M/S 6/7->C,
1.00626749E10,,M/S 3/7->A,,M/S 4/7->D,,M/S 1/7->B,,M/S 6/7->C,
9.8033777E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 1/7->B,,M/S 6/7->C,
1.08828436E10,,M/S 3/7->A,,M/S 1/7->B,,M/S 6/7->C,D,
1.09803428E10,,M/S 3/7->A,,M/S 7/7->D,,M/S 1/7->B,,M/S 6/7->C,
1.00371272E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 1/7->C,D,
1.05409106E10,,M/S 3/7->A,,M/S 2/7->B,D,,M/S 1/7->C,
1.02021018E10,,M/S 3/7->A,D,,M/S 2/7->B,,M/S 1/7->C,
1.00780288E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 4/7->D,,M/S 1/7->C,
9.8187315E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 2/7->B,,M/S 1/7->C,
1.08981975E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 1/7->C,,M/S 6/7->D,
1.09956966E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 7/7->D,,M/S 1/7->C,
1.06292931E10,,M/S 3/7->A,,M/S 2/7->B,C,,M/S 1/7->D,
1.07042806E10,,M/S 3/7->A,D,,M/S 2/7->B,C,
1.05802076E10,,M/S 3/7->A,,M/S 2/7->B,C,,M/S 4/7->D,
1.03209103E10,,M/S 3/7->A,,M/S 5/7->D,,M/S 2/7->B,C,
1.14003763E10,,M/S 3/7->A,,M/S 2/7->B,C,,M/S 6/7->D,
1.14978755E10,,M/S 3/7->A,,M/S 2/7->B,C,,M/S 7/7->D,
1.02232617E10,,M/S 3/7->A,C,,M/S 2/7->B,,M/S 1/7->D,
1.0637058E10,,M/S 3/7->A,C,,M/S 2/7->B,D,
1.01741763E10,,M/S 3/7->A,C,,M/S 2/7->B,,M/S 4/7->D,
9.914879E9,,M/S 3/7->A,C,,M/S 5/7->D,,M/S 2/7->B,
1.0994346E10,,M/S 3/7->A,C,,M/S 2/7->B,,M/S 6/7->D,
1.10918451E10,,M/S 3/7->A,C,,M/S 2/7->B,,M/S 7/7->D,
1.0087636E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 4/7->C,,M/S 1/7->D,
1.05014333E10,,M/S 3/7->A,,M/S 2/7->B,D,,M/S 4/7->C,
1.01626245E10,,M/S 3/7->A,D,,M/S 2/7->B,,M/S 4/7->C,
9.5710116E9,,M/S 3/7->A,,M/S 2/7->B,,M/S 4/7->C,D,
9.7792543E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 2/7->B,,M/S 4/7->C,
1.08587203E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 4/7->C,,M/S 6/7->D,
1.09562194E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->C,
9.9181732E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 2/7->B,,M/S 1/7->D,
1.03319695E10,,M/S 3/7->A,,M/S 5/7->C,,M/S 2/7->B,D,
9.9931607E9,,M/S 3/7->A,D,,M/S 5/7->C,,M/S 2/7->B,
9.8690877E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 2/7->B,,M/S 4/7->D,
9.6097915E9,,M/S 3/7->A,,M/S 5/7->C,D,,M/S 2/7->B,
1.06892575E10,,M/S 3/7->A,,M/S 5/7->C,,M/S 2/7->B,,M/S 6/7->D,
1.07867566E10,,M/S 3/7->A,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->D,
1.09273467E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 1/7->D,,M/S 6/7->C,
1.13411441E10,,M/S 3/7->A,,M/S 2/7->B,D,,M/S 6/7->C,
1.10023352E10,,M/S 3/7->A,D,,M/S 2/7->B,,M/S 6/7->C,
1.08782612E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 4/7->D,,M/S 6/7->C,
1.0618964E10,,M/S 3/7->A,,M/S 5/7->D,,M/S 2/7->B,,M/S 6/7->C,
1.1698431E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 6/7->C,D,
1.17959291E10,,M/S 3/7->A,,M/S 2/7->B,,M/S 7/7->D,,M/S 6/7->C,
9.3186847E9,,M/S 3/7->A,B,,M/S 1/7->C,D,
9.9706337E9,,M/S 3/7->A,B,,M/S 2/7->D,,M/S 1/7->C,
9.3595863E9,,M/S 3/7->A,B,,M/S 4/7->D,,M/S 1/7->C,
9.100289E9,,M/S 3/7->A,B,,M/S 5/7->D,,M/S 1/7->C,
1.0179755E10,,M/S 3/7->A,B,,M/S 1/7->C,,M/S 6/7->D,
1.02772541E10,,M/S 3/7->A,B,,M/S 7/7->D,,M/S 1/7->C,
1.00587336E10,,M/S 3/7->A,B,,M/S 2/7->C,,M/S 1/7->D,
1.03922422E10,,M/S 3/7->A,B,,M/S 2/7->C,D,
1.00096481E10,,M/S 3/7->A,B,,M/S 2/7->C,,M/S 4/7->D,
9.7503508E9,,M/S 3/7->A,B,,M/S 5/7->D,,M/S 2/7->C,
1.08298179E10,,M/S 3/7->A,B,,M/S 2/7->C,,M/S 6/7->D,
1.0927317E10,,M/S 3/7->A,B,,M/S 2/7->C,,M/S 7/7->D,
9.3691935E9,,M/S 3/7->A,B,,M/S 4/7->C,,M/S 1/7->D,
9.9311565E9,,M/S 3/7->A,B,,M/S 2/7->D,,M/S 4/7->C,
8.8525691E9,,M/S 3/7->A,B,,M/S 4/7->C,D,
9.0608118E9,,M/S 3/7->A,B,,M/S 5/7->D,,M/S 4/7->C,
1.01402778E10,,M/S 3/7->A,B,,M/S 4/7->C,,M/S 6/7->D,
1.02377769E10,,M/S 3/7->A,B,,M/S 7/7->D,,M/S 4/7->C,
9.1997307E9,,M/S 3/7->A,B,,M/S 5/7->C,,M/S 1/7->D,
9.7616937E9,,M/S 3/7->A,B,,M/S 5/7->C,,M/S 2/7->D,
9.1506452E9,,M/S 3/7->A,B,,M/S 5/7->C,,M/S 4/7->D,
8.891349E9,,M/S 3/7->A,B,,M/S 5/7->C,D,
9.970815E9,,M/S 3/7->A,B,,M/S 5/7->C,,M/S 6/7->D,
1.00683141E10,,M/S 3/7->A,B,,M/S 5/7->C,,M/S 7/7->D,
1.02089042E10,,M/S 3/7->A,B,,M/S 1/7->D,,M/S 6/7->C,
1.07708672E10,,M/S 3/7->A,B,,M/S 2/7->D,,M/S 6/7->C,
1.01598198E10,,M/S 3/7->A,B,,M/S 4/7->D,,M/S 6/7->C,
9.9005225E9,,M/S 3/7->A,B,,M/S 5/7->D,,M/S 6/7->C,
1.09799885E10,,M/S 3/7->A,B,,M/S 6/7->C,D,
1.10774876E10,,M/S 3/7->A,B,,M/S 7/7->D,,M/S 6/7->C,
9.196331E9,,M/S 3/7->A,,M/S 4/7->B,,M/S 1/7->C,D,
9.8482801E9,,M/S 3/7->A,,M/S 2/7->D,,M/S 4/7->B,,M/S 1/7->C,
9.3613056E9,,M/S 3/7->A,D,,M/S 4/7->B,,M/S 1/7->C,
8.836735E9,,M/S 3/7->A,,M/S 4/7->B,D,,M/S 1/7->C,
8.9779354E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 4/7->B,,M/S 1/7->C,
1.00574013E10,,M/S 3/7->A,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->D,
1.01549005E10,,M/S 3/7->A,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->C,
9.9363799E9,,M/S 3/7->A,,M/S 2/7->C,,M/S 4/7->B,,M/S 1/7->D,
1.02698885E10,,M/S 3/7->A,,M/S 2/7->C,D,,M/S 4/7->B,
1.00113674E10,,M/S 3/7->A,D,,M/S 2/7->C,,M/S 4/7->B,
9.4867968E9,,M/S 3/7->A,,M/S 2/7->C,,M/S 4/7->B,D,
9.6279972E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->B,
1.07074642E10,,M/S 3/7->A,,M/S 2/7->C,,M/S 4/7->B,,M/S 6/7->D,
1.08049633E10,,M/S 3/7->A,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->B,
9.3824645E9,,M/S 3/7->A,C,,M/S 4/7->B,,M/S 1/7->D,
9.9444275E9,,M/S 3/7->A,C,,M/S 2/7->D,,M/S 4/7->B,
8.9328824E9,,M/S 3/7->A,C,,M/S 4/7->B,D,
9.0740828E9,,M/S 3/7->A,C,,M/S 5/7->D,,M/S 4/7->B,
1.01535488E10,,M/S 3/7->A,C,,M/S 4/7->B,,M/S 6/7->D,
1.02510479E10,,M/S 3/7->A,C,,M/S 7/7->D,,M/S 4/7->B,
8.8320205E9,,M/S 3/7->A,,M/S 4/7->B,C,,M/S 1/7->D,
9.3939835E9,,M/S 3/7->A,,M/S 2/7->D,,M/S 4/7->B,C,
8.907008E9,,M/S 3/7->A,D,,M/S 4/7->B,C,
8.5236378E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 4/7->B,C,
9.6031048E9,,M/S 3/7->A,,M/S 4/7->B,C,,M/S 6/7->D,
9.7006039E9,,M/S 3/7->A,,M/S 7/7->D,,M/S 4/7->B,C,
9.077377E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 4/7->B,,M/S 1/7->D,
9.63934E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 2/7->D,,M/S 4/7->B,
